Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346.0,326,12,77556.46,1,4,4,9,At Risk High-Value
12347.0,2,8,5633.32,4,3,4,11,Champions
12348.0,75,5,2019.4,2,2,3,7,Potential Loyalists
12349.0,19,4,4428.69,4,2,4,10,New Customers
12352.0,36,10,2849.84,3,4,3,10,Champions
12353.0,204,2,406.76,2,1,1,4,Hibernating
12355.0,214,2,947.61,2,1,2,5,Needs Attention
12356.0,23,6,6373.68,3,3,4,10,Champions
12357.0,33,3,18287.66,3,1,4,8,New Customers
12358.0,2,5,3887.07,4,2,4,10,New Customers
12359.0,58,10,8935.94,3,4,4,11,Champions
12360.0,52,8,4252.89,3,3,4,10,Champions
12361.0,287,4,511.25,1,2,1,4,Hibernating
12362.0,3,11,5356.23,4,4,4,12,Champions
12363.0,110,2,552.0,2,1,1,4,Hibernating
12364.0,8,4,1313.1,4,2,2,8,New Customers
12365.0,291,2,641.38,1,1,1,3,Hibernating
12369.0,413,3,1791.15,1,1,3,5,Needs Attention
12370.0,51,7,4320.31,3,3,4,10,Champions
12371.0,45,5,4067.38,3,2,4,9,New Customers
12372.0,72,3,1298.04,2,1,2,5,Needs Attention
12373.0,311,3,1127.65,1,1,2,4,Needs Attention
12374.0,25,4,2989.2200000000003,3,2,3,8,New Customers
12375.0,11,2,457.5,4,1,1,6,Promising
12376.0,390,2,503.15,1,1,1,3,Hibernating
12377.0,315,4,3426.32,1,2,4,7,Needs Attention
12378.0,130,2,5416.32,2,1,4,7,Needs Attention
12379.0,82,4,1620.22,2,2,3,7,Potential Loyalists
12380.0,22,11,9676.300000000001,3,4,4,11,Champions
12381.0,5,5,1845.31,4,2,3,9,New Customers
12383.0,185,5,1850.56,2,2,3,7,Potential Loyalists
12384.0,29,2,585.27,3,1,1,5,Promising
12386.0,338,2,660.8,1,1,1,3,Hibernating
12388.0,16,8,3901.11,4,3,4,11,Champions
12389.0,403,3,1433.33,1,1,3,5,Needs Attention
12391.0,22,6,2773.42,3,3,3,9,Champions
12393.0,72,6,2399.4500000000003,2,3,3,8,At Risk High-Value
12394.0,64,2,1272.48,2,1,2,5,Needs Attention
12395.0,19,15,5067.27,4,4,4,12,Champions
12397.0,36,2,2409.9,3,1,3,7,New Customers
12399.0,119,7,1962.3,2,3,3,8,At Risk High-Value
12402.0,323,6,1256.9,1,3,2,6,Promising
12403.0,50,2,1019.36,3,1,2,6,New Customers
12406.0,22,5,6390.36,3,2,4,9,New Customers
12407.0,50,5,1708.1200000000001,3,2,3,8,New Customers
12408.0,33,8,4340.7699999999995,3,3,4,10,Champions
12409.0,79,7,23419.29,2,3,4,9,At Risk High-Value
12410.0,309,3,1013.71,1,1,2,4,Needs Attention
12412.0,75,6,2596.93,2,3,3,8,At Risk High-Value
12413.0,67,4,999.45,2,2,2,6,Potential Loyalists
12414.0,217,6,952.41,2,3,2,7,Potential Loyalists
12415.0,24,28,144458.37,3,4,4,11,Champions
12417.0,3,20,6816.91,4,4,4,12,Champions
12418.0,113,4,2021.2,2,2,3,7,Potential Loyalists
12419.0,386,2,503.01,1,1,1,3,Hibernating
12421.0,16,6,1098.6,4,3,2,9,Loyal High-Value
12422.0,96,17,5231.8,2,4,4,10,At Risk High-Value
12423.0,1,10,2622.39,4,4,3,11,Champions
12424.0,163,4,3340.03,2,2,4,8,Potential Loyalists
12425.0,78,2,1741.41,2,1,3,6,Needs Attention
12426.0,195,2,1345.21,2,1,2,5,Needs Attention
12427.0,22,3,1129.3,3,1,2,6,New Customers
12428.0,26,9,7956.46,3,3,4,10,Champions
12429.0,9,8,7485.91,4,3,4,11,Champions
12431.0,36,27,10857.97,3,4,4,11,Champions
12432.0,43,5,5059.32,3,2,4,9,New Customers
12433.0,1,10,20581.26,4,4,4,12,Champions
12434.0,85,3,1103.43,2,1,2,5,Needs Attention
12435.0,80,6,13925.93,2,3,4,9,At Risk High-Value
12437.0,2,39,12683.4,4,4,4,12,Champions
12438.0,14,2,2906.85,4,1,3,8,New Customers
12439.0,683,2,1158.18,1,1,2,4,Needs Attention
12440.0,462,2,859.2,1,1,2,4,Needs Attention
12444.0,21,5,5005.46,3,2,4,9,New Customers
12445.0,22,2,434.98,3,1,1,5,Promising
12449.0,22,6,4835.89,3,3,4,10,Champions
12450.0,156,5,688.2,2,2,1,5,Hibernating
12451.0,11,8,12669.88,4,3,4,11,Champions
12452.0,17,2,430.57,4,1,1,6,Promising
12454.0,56,5,16679.78,3,2,4,9,New Customers
12455.0,73,10,5879.95,2,4,4,10,At Risk High-Value
12456.0,44,3,3181.04,3,1,3,7,New Customers
12457.0,66,8,2995.91,2,3,3,8,At Risk High-Value
12458.0,71,4,1777.49,2,2,3,7,Potential Loyalists
12461.0,94,2,826.88,2,1,2,5,Needs Attention
12462.0,19,2,1189.59,4,1,2,7,New Customers
12463.0,53,4,1344.78,3,2,2,7,New Customers
12464.0,10,8,1212.05,4,3,2,9,Loyal High-Value
12465.0,17,2,742.1899999999999,4,1,2,7,New Customers
12468.0,188,5,3670.74,2,2,4,8,Potential Loyalists
12469.0,523,2,3070.54,1,1,3,5,Needs Attention
